mac_address,gym,login,logout
8a:5d:b3:1a:4b:eb,10,1680800400,1680802732
0a:3d:b0:9c:49:7b,5,1619197200,1619203131
df:b4:64:d4:8f:36,2,1617987600,1617992333
de:75:75:7d:2c:8b,3,1708016400,1708022315
f1:52:60:80:ff:89,3,1638378000,1638380573
b6:d1:53:b5:76:64,5,1613149200,1613155743
6f:14:d0:0a:c4:ea,10,1676998800,1677003991
da:3e:18:de:5f:7c,5,1656349200,1656354736
26:47:3f:34:93:d8,5,1722013200,1722018232
91:21:fe:7a:30:b0,3,1610298000,1610304542
74:b4:9d:6b:bf:2a,1,1688317200,1688322587
f9:ca:5e:30:61:89,6,1711645200,1711649294
04:62:ad:45:2a:2b,4,1715014800,1715020389
88:e6:2d:24:1e:db,3,1668358800,1668361422
2f:bb:51:70:b7:a5,1,1689699600,1689705168
48:10:2c:51:b1:99,4,1595437200,1595443101
f5:fd:72:ae:39:74,1,1671555600,1671562417
24:c1:bc:e3:92:0b,7,1683824400,1683829658
0e:2c:da:20:92:48,10,1674579600,1674584648
08:6b:32:75:77:50,5,1662224400,1662228501
bf:47:01:c8:6a:34,7,1579539600,1579542231
d7:dc:eb:69:e8:bd,2,1581267600,1581273665
6b:00:b6:e1:ab:c3,5,1588179600,1588182372
6c:3f:46:4a:3f:fe,5,1609866000,1609868568
7b:5b:5c:ef:9a:2c,1,1584291600,1584295432
c7:9d:67:6c:b8:09,5,1698685200,1698689682
c5:a5:0d:9f:06:12,2,1617123600,1617127957
ea:a7:02:f3:ad:7a,1,1632157200,1632160202
27:75:58:bf:7b:f7,5,1610557200,1610559254
6f:67:db:ec:af:49,6,1697216400,1697220514
77:3d:94:7b:ff:71,4,1600275600,1600279175
3d:a8:97:7f:d9:e1,10,1590598800,1590604980
eb:83:4a:e5:0f:91,10,1680109200,1680114722
5d:97:9d:2c:e2:94,8,1584464400,1584466759
ee:b8:3d:ee:5d:ca,2,1589994000,1589998832
dc:34:11:53:a5:9a,1,1613494800,1613496779
f8:71:af:56:43:04,7,1645203600,1645209558
ef:4e:76:43:2f:98,1,1622307600,1622311849
60:c0:9b:76:a3:4a,4,1713718800,1713720908
c9:e6:10:dc:c7:b0,8,1618246800,1618253591
72:55:48:c2:c5:4f,9,1684170000,1684172176
7c:db:68:b0:72:74,4,1708102800,1708109744
1f:63:47:79:c1:46,1,1701104400,1701111259
90:a4:31:86:e4:a4,5,1666285200,1666291537
a4:f1:a7:42:45:0f,9,1616605200,1616612156
07:c7:f2:37:7a:11,10,1693414800,1693418111
85:8f:ae:4b:f5:c6,10,1631984400,1631989082
9a:0c:ff:00:f1:84,8,1666198800,1666202850
8a:81:b9:e8:ef:eb,9,1586365200,1586368852
1d:9b:46:97:4e:8e,5,1681923600,1681929727
05:9e:13:9f:95:d1,3,1593536400,1593541635
93:69:84:b2:61:16,1,1652806800,1652812915
a5:2f:fa:ba:fe:9e,6,1702314000,1702315862
30:54:23:90:fe:76,2,1646326800,1646333097
eb:16:60:39:d8:12,2,1653930000,1653934506
c0:57:e1:a0:47:5b,9,1597942800,1597945406
39:bc:ae:b6:5f:bb,4,1580662800,1580668566
97:2c:59:4b:76:88,4,1731258000,1731264303
27:96:6f:da:06:3c,3,1655571600,1655574511
18:7c:cb:e3:77:7a,10,1732986000,1732991796
03:cb:b3:d2:77:50,2,1711213200,1711219583
66:b9:73:53:a1:77,4,1614358800,1614364338
a9:ac:b0:94:88:5b,7,1578157200,1578162227
90:7e:4f:33:19:3f,10,1585846800,1585850145
68:d6:d1:23:3c:9b,10,1645117200,1645123407
7e:44:b8:2d:85:44,6,1596387600,1596392127
5b:eb:8d:cd:f6:26,5,1686762000,1686765189
aa:6f:a5:32:70:84,5,1641056400,1641059860
62:5e:37:75:2c:ad,6,1654621200,1654625386
21:6b:11:4c:b0:8a,8,1706202000,1706208076
a3:e2:52:c6:52:fe,7,1611162000,1611163999
26:bb:b0:4a:22:d0,5,1713546000,1713549325
2f:ae:b3:92:56:86,7,1621357200,1621359322
5c:0a:08:4d:8d:ed,5,1593104400,1593109706
49:de:b3:27:c8:f8,1,1655398800,1655402100
02:ba:96:d4:88:05,6,1679590800,1679595913
60:dd:45:76:0d:d7,7,1670778000,1670782254
11:ba:0e:02:23:0c,2,1643562000,1643564191
06:e9:d9:7d:7a:ec,5,1632157200,1632164023
1a:02:81:63:26:b6,9,1684947600,1684949536
3c:25:81:75:b1:ba,4,1679245200,1679248663
cd:0f:59:04:c3:87,3,1640797200,1640803091
b9:2a:35:c7:2b:56,5,1703523600,1703529232
ff:22:b4:04:6f:98,1,1663261200,1663264616
50:30:b8:5a:f6:70,6,1634576400,1634582318
c7:a5:a6:f5:1d:ab,1,1677776400,1677778332
12:dd:29:92:3f:39,10,1627059600,1627064956
73:d7:b2:eb:cd:98,4,1734195600,1734199232
40:56:57:48:dc:24,1,1636736400,1636740448
8e:af:2c:6a:51:ac,4,1663779600,1663783363
5c:8e:df:b3:b7:0c,4,1599757200,1599760839
19:c0:49:9f:8c:29,2,1714582800,1714584885
06:22:39:3e:67:e4,4,1721322000,1721328128
1a:88:64:6b:15:c2,2,1585674000,1585679507
35:69:f6:8c:02:86,3,1694106000,1694108637
44:f5:d1:dc:c3:f8,3,1638464400,1638468403
36:51:a8:82:76:81,1,1730134800,1730139355
eb:9a:db:13:91:ee,9,1660150800,1660156890
24:67:89:6a:9b:50,4,1665162000,1665167609
98:4c:11:54:40:76,5,1708189200,1708194998
